Year	Month	Day	Hour	Tamax ( C )
2009	10	1	0	-1.89
2009	10	1	1	-1.89
2009	10	1	2	-1.89
2009	10	1	3	-1.89
2009	10	1	4	-1.89
2009	10	1	5	-1.89
2009	10	1	6	-1.89
2009	10	1	7	-1.89
2009	10	1	8	-1.89
2009	10	1	9	-1.89
2009	10	1	10	-1.89
2009	10	1	11	-1.89
2009	10	1	12	-1.89
2009	10	1	13	-1.89
2009	10	1	14	-1.89
2009	10	1	15	-1.89
2009	10	1	16	-1.89
2009	10	1	17	-1.89
2009	10	1	18	-1.89
2009	10	1	19	-1.89
2009	10	1	20	-1.89
2009	10	1	21	-1.89
2009	10	1	22	-1.89
2009	10	1	23	-1.89
2009	10	2	0	5.065
2009	10	2	1	5.065
2009	10	2	2	5.065
2009	10	2	3	5.065
2009	10	2	4	5.065
2009	10	2	5	5.065
2009	10	2	6	5.065
2009	10	2	7	5.065
2009	10	2	8	5.065
2009	10	2	9	5.065
2009	10	2	10	5.065
2009	10	2	11	5.065
2009	10	2	12	5.065
2009	10	2	13	5.065
2009	10	2	14	5.065
2009	10	2	15	5.065
2009	10	2	16	5.065
2009	10	2	17	5.065
2009	10	2	18	5.065
2009	10	2	19	5.065
2009	10	2	20	5.065
2009	10	2	21	5.065
2009	10	2	22	5.065
2009	10	2	23	5.065
2009	10	3	0	4.94
2009	10	3	1	4.94
2009	10	3	2	4.94
2009	10	3	3	4.94
2009	10	3	4	4.94
2009	10	3	5	4.94
2009	10	3	6	4.94
2009	10	3	7	4.94
2009	10	3	8	4.94
2009	10	3	9	4.94
2009	10	3	10	4.94
2009	10	3	11	4.94
2009	10	3	12	4.94
2009	10	3	13	4.94
2009	10	3	14	4.94
2009	10	3	15	4.94
2009	10	3	16	4.94
2009	10	3	17	4.94
2009	10	3	18	4.94
2009	10	3	19	4.94
2009	10	3	20	4.94
2009	10	3	21	4.94
2009	10	3	22	4.94
2009	10	3	23	4.94
2009	10	4	0	1.81
2009	10	4	1	1.81
2009	10	4	2	1.81
2009	10	4	3	1.81
2009	10	4	4	1.81
2009	10	4	5	1.81
2009	10	4	6	1.81
2009	10	4	7	1.81
2009	10	4	8	1.81
2009	10	4	9	1.81
2009	10	4	10	1.81
2009	10	4	11	1.81
2009	10	4	12	1.81
2009	10	4	13	1.81
2009	10	4	14	1.81
2009	10	4	15	1.81
2009	10	4	16	1.81
2009	10	4	17	1.81
2009	10	4	18	1.81
2009	10	4	19	1.81
2009	10	4	20	1.81
2009	10	4	21	1.81
2009	10	4	22	1.81
2009	10	4	23	1.81
2009	10	5	0	-3.385
2009	10	5	1	-3.385
2009	10	5	2	-3.385
2009	10	5	3	-3.385
2009	10	5	4	-3.385
2009	10	5	5	-3.385
2009	10	5	6	-3.385
2009	10	5	7	-3.385
2009	10	5	8	-3.385
2009	10	5	9	-3.385
2009	10	5	10	-3.385
2009	10	5	11	-3.385
2009	10	5	12	-3.385
2009	10	5	13	-3.385
2009	10	5	14	-3.385
2009	10	5	15	-3.385
2009	10	5	16	-3.385
2009	10	5	17	-3.385
2009	10	5	18	-3.385
2009	10	5	19	-3.385
2009	10	5	20	-3.385
2009	10	5	21	-3.385
2009	10	5	22	-3.385
2009	10	5	23	-3.385
2009	10	6	0	1.63
2009	10	6	1	1.63
2009	10	6	2	1.63
2009	10	6	3	1.63
2009	10	6	4	1.63
2009	10	6	5	1.63
2009	10	6	6	1.63
2009	10	6	7	1.63
2009	10	6	8	1.63
2009	10	6	9	1.63
2009	10	6	10	1.63
2009	10	6	11	1.63
2009	10	6	12	1.63
2009	10	6	13	1.63
2009	10	6	14	1.63
2009	10	6	15	1.63
2009	10	6	16	1.63
2009	10	6	17	1.63
2009	10	6	18	1.63
2009	10	6	19	1.63
2009	10	6	20	1.63
2009	10	6	21	1.63
2009	10	6	22	1.63
2009	10	6	23	1.63
2009	10	7	0	5.855
2009	10	7	1	5.855
2009	10	7	2	5.855
2009	10	7	3	5.855
2009	10	7	4	5.855
2009	10	7	5	5.855
2009	10	7	6	5.855
2009	10	7	7	5.855
2009	10	7	8	5.855
2009	10	7	9	5.855
2009	10	7	10	5.855
2009	10	7	11	5.855
2009	10	7	12	5.855
2009	10	7	13	5.855
2009	10	7	14	5.855
2009	10	7	15	5.855
2009	10	7	16	5.855
2009	10	7	17	5.855
2009	10	7	18	5.855
2009	10	7	19	5.855
2009	10	7	20	5.855
2009	10	7	21	5.855
2009	10	7	22	5.855
2009	10	7	23	5.855
2009	10	8	0	0.575
2009	10	8	1	0.575
2009	10	8	2	0.575
2009	10	8	3	0.575
2009	10	8	4	0.575
2009	10	8	5	0.575
2009	10	8	6	0.575
2009	10	8	7	0.575
2009	10	8	8	0.575
2009	10	8	9	0.575
2009	10	8	10	0.575
2009	10	8	11	0.575
2009	10	8	12	0.575
2009	10	8	13	0.575
2009	10	8	14	0.575
2009	10	8	15	0.575
2009	10	8	16	0.575
2009	10	8	17	0.575
2009	10	8	18	0.575
2009	10	8	19	0.575
2009	10	8	20	0.575
2009	10	8	21	0.575
2009	10	8	22	0.575
2009	10	8	23	0.575
2009	10	9	0	0.585
2009	10	9	1	0.585
2009	10	9	2	0.585
2009	10	9	3	0.585
2009	10	9	4	0.585
2009	10	9	5	0.585
2009	10	9	6	0.585
2009	10	9	7	0.585
2009	10	9	8	0.585
2009	10	9	9	0.585
2009	10	9	10	0.585
2009	10	9	11	0.585
2009	10	9	12	0.585
2009	10	9	13	0.585
2009	10	9	14	0.585
2009	10	9	15	0.585
2009	10	9	16	0.585
2009	10	9	17	0.585
2009	10	9	18	0.585
2009	10	9	19	0.585
2009	10	9	20	0.585
2009	10	9	21	0.585
2009	10	9	22	0.585
2009	10	9	23	0.585
2009	10	10	0	-0.825
2009	10	10	1	-0.825
2009	10	10	2	-0.825
2009	10	10	3	-0.825
2009	10	10	4	-0.825
2009	10	10	5	-0.825
2009	10	10	6	-0.825
2009	10	10	7	-0.825
2009	10	10	8	-0.825
2009	10	10	9	-0.825
2009	10	10	10	-0.825
2009	10	10	11	-0.825
2009	10	10	12	-0.825
2009	10	10	13	-0.825
2009	10	10	14	-0.825
2009	10	10	15	-0.825
2009	10	10	16	-0.825
2009	10	10	17	-0.825
2009	10	10	18	-0.825
2009	10	10	19	-0.825
2009	10	10	20	-0.825
2009	10	10	21	-0.825
2009	10	10	22	-0.825
2009	10	10	23	-0.825
2009	10	11	0	-0.39
2009	10	11	1	-0.39
2009	10	11	2	-0.39
2009	10	11	3	-0.39
2009	10	11	4	-0.39
2009	10	11	5	-0.39
2009	10	11	6	-0.39
2009	10	11	7	-0.39
2009	10	11	8	-0.39
2009	10	11	9	-0.39
2009	10	11	10	-0.39
2009	10	11	11	-0.39
2009	10	11	12	-0.39
2009	10	11	13	-0.39
2009	10	11	14	-0.39
2009	10	11	15	-0.39
2009	10	11	16	-0.39
2009	10	11	17	-0.39
2009	10	11	18	-0.39
2009	10	11	19	-0.39
2009	10	11	20	-0.39
2009	10	11	21	-0.39
2009	10	11	22	-0.39
2009	10	11	23	-0.39
2009	10	12	0	7.53
2009	10	12	1	7.53
2009	10	12	2	7.53
2009	10	12	3	7.53
2009	10	12	4	7.53
2009	10	12	5	7.53
2009	10	12	6	7.53
2009	10	12	7	7.53
2009	10	12	8	7.53
2009	10	12	9	7.53
2009	10	12	10	7.53
2009	10	12	11	7.53
2009	10	12	12	7.53
2009	10	12	13	7.53
2009	10	12	14	7.53
2009	10	12	15	7.53
2009	10	12	16	7.53
2009	10	12	17	7.53
2009	10	12	18	7.53
