Year	Month	Day	Hour	Ta(C)
2009	10	1	0	-8.93
2009	10	1	1	-7.355
2009	10	1	2	-7.545
2009	10	1	3	-6.75
2009	10	1	4	-6.6
2009	10	1	5	-6.515
2009	10	1	6	-6.545
2009	10	1	7	-7.34
2009	10	1	8	-7.17
2009	10	1	9	-5.715
2009	10	1	10	-3.385
2009	10	1	11	-2.5
2009	10	1	12	-2.31
2009	10	1	13	-2.12
2009	10	1	14	-1.97
2009	10	1	15	-1.89
2009	10	1	16	-2.04
2009	10	1	17	-2.135
2009	10	1	18	-3.33
2009	10	1	19	-4.08
2009	10	1	20	-4.8
2009	10	1	21	-5.035
2009	10	1	22	-5.04
2009	10	1	23	-4.9
2009	10	2	0	-5.815
2009	10	2	1	-5.1
2009	10	2	2	-5.15
2009	10	2	3	-5.315
2009	10	2	4	-5.8
2009	10	2	5	-6.785
2009	10	2	6	-6.35
2009	10	2	7	-5.995
2009	10	2	8	-4.845
2009	10	2	9	-0.33
2009	10	2	10	1.05
2009	10	2	11	2.065
2009	10	2	12	2.82
2009	10	2	13	3.24
2009	10	2	14	4.18
2009	10	2	15	5.065
2009	10	2	16	4.925
2009	10	2	17	3.445
2009	10	2	18	2.475
2009	10	2	19	0.415
2009	10	2	20	-2.325
2009	10	2	21	-2.92
2009	10	2	22	-3.28
2009	10	2	23	-3.53
2009	10	3	0	-2.68
2009	10	3	1	-1.465
2009	10	3	2	-2.74
2009	10	3	3	-1.81
2009	10	3	4	-1.145
2009	10	3	5	-0.18
2009	10	3	6	-0.495
2009	10	3	7	-0.52
2009	10	3	8	0.235
2009	10	3	9	1.205
2009	10	3	10	2.535
2009	10	3	11	2.73
2009	10	3	12	3.665
2009	10	3	13	4.295
2009	10	3	14	4.175
2009	10	3	15	4.94
2009	10	3	16	4.9
2009	10	3	17	4.45
2009	10	3	18	4.64
2009	10	3	19	2.975
2009	10	3	20	2.725
2009	10	3	21	2.615
2009	10	3	22	2.685
2009	10	3	23	2.435
2009	10	4	0	1.81
2009	10	4	1	0.91
2009	10	4	2	0.205
2009	10	4	3	-0.235
2009	10	4	4	-0.47
2009	10	4	5	-0.515
2009	10	4	6	-0.64
2009	10	4	7	-0.845
2009	10	4	8	-1.78
2009	10	4	9	-2.05
2009	10	4	10	-1.92
2009	10	4	11	-2.125
2009	10	4	12	-1.23
2009	10	4	13	-1.25
2009	10	4	14	-1.145
2009	10	4	15	-1.6
2009	10	4	16	-1.23
2009	10	4	17	-1.585
2009	10	4	18	-1.585
2009	10	4	19	-2.3
2009	10	4	20	-3.15
2009	10	4	21	-3.33
2009	10	4	22	-3.36
2009	10	4	23	-3.455
2009	10	5	0	-3.855
2009	10	5	1	-4.075
2009	10	5	2	-4.75
2009	10	5	3	-4.96
2009	10	5	4	-5.165
2009	10	5	5	-5.515
2009	10	5	6	-5.835
2009	10	5	7	-6.545
2009	10	5	8	-6.57
2009	10	5	9	-5.72
2009	10	5	10	-5.005
2009	10	5	11	-4.595
2009	10	5	12	-4.815
2009	10	5	13	-3.385
2009	10	5	14	-3.49
2009	10	5	15	-4.83
2009	10	5	16	-4.685
2009	10	5	17	-4.665
2009	10	5	18	-4.815
2009	10	5	19	-4.99
2009	10	5	20	-5.62
2009	10	5	21	-5.855
2009	10	5	22	-6.195
2009	10	5	23	-6.57
2009	10	6	0	-7.72
2009	10	6	1	-6.98
2009	10	6	2	-8.075
2009	10	6	3	-8.33
2009	10	6	4	-7.45
2009	10	6	5	-7.99
2009	10	6	6	-9.205
2009	10	6	7	-9.06
2009	10	6	8	-7.505
2009	10	6	9	-3.675
2009	10	6	10	-0.52
2009	10	6	11	-1.075
2009	10	6	12	0.005
2009	10	6	13	0.47
2009	10	6	14	0.59
2009	10	6	15	1.325
2009	10	6	16	1.63
2009	10	6	17	1.59
2009	10	6	18	-0.02
2009	10	6	19	-1.915
2009	10	6	20	-3.25
2009	10	6	21	-3.25
2009	10	6	22	-2.425
2009	10	6	23	-4.04
2009	10	7	0	-5.65
2009	10	7	1	-5.835
2009	10	7	2	-5.745
2009	10	7	3	-5.095
2009	10	7	4	-5.94
2009	10	7	5	-6.22
2009	10	7	6	-4.83
2009	10	7	7	-5.01
2009	10	7	8	-4.02
2009	10	7	9	1.03
2009	10	7	10	3.93
2009	10	7	11	4.6
2009	10	7	12	4.285
2009	10	7	13	5.385
2009	10	7	14	5.39
2009	10	7	15	5.855
2009	10	7	16	5.045
2009	10	7	17	3.88
2009	10	7	18	2.25
2009	10	7	19	-0.07
2009	10	7	20	-1.25
2009	10	7	21	-1.275
2009	10	7	22	-1.83
2009	10	7	23	-2.23
2009	10	8	0	-2.965
2009	10	8	1	-3.6
2009	10	8	2	-4.115
2009	10	8	3	-3.435
2009	10	8	4	-3.18
2009	10	8	5	-3.76
2009	10	8	6	-4.225
2009	10	8	7	-3.655
2009	10	8	8	-3.03
2009	10	8	9	-2.51
2009	10	8	10	-2.165
2009	10	8	11	0.25
2009	10	8	12	0.005
2009	10	8	13	0.1
2009	10	8	14	-0.37
2009	10	8	15	-0.09
2009	10	8	16	0.575
2009	10	8	17	-0.515
2009	10	8	18	-1.49
2009	10	8	19	-1.795
2009	10	8	20	-1.965
2009	10	8	21	-2.835
2009	10	8	22	-2.945
2009	10	8	23	-2.88
2009	10	9	0	-3.1
2009	10	9	1	-3.305
2009	10	9	2	-3.18
2009	10	9	3	-3.02
2009	10	9	4	-3.015
2009	10	9	5	-2.87
2009	10	9	6	-2.635
2009	10	9	7	-2.615
2009	10	9	8	-2.5
2009	10	9	9	-2.25
2009	10	9	10	-1.475
2009	10	9	11	-1.045
2009	10	9	12	-0.975
2009	10	9	13	-0.885
2009	10	9	14	-0.44
2009	10	9	15	0.04
2009	10	9	16	0.575
2009	10	9	17	0.585
2009	10	9	18	0.22
2009	10	9	19	-0.6
2009	10	9	20	-1.41
2009	10	9	21	-1.905
2009	10	9	22	-2.355
2009	10	9	23	-2.885
2009	10	10	0	-3.295
2009	10	10	1	-3.56
2009	10	10	2	-3.7
2009	10	10	3	-3.8
2009	10	10	4	-4.255
2009	10	10	5	-4.765
2009	10	10	6	-5.17
2009	10	10	7	-5.03
2009	10	10	8	-5.185
2009	10	10	9	-4.64
2009	10	10	10	-3.875
2009	10	10	11	-3.515
2009	10	10	12	-1.445
2009	10	10	13	-0.825
2009	10	10	14	-1.09
2009	10	10	15	-1.695
2009	10	10	16	-2.995
2009	10	10	17	-3.1
2009	10	10	18	-3.2
2009	10	10	19	-3.325
2009	10	10	20	-3.35
2009	10	10	21	-3.39
2009	10	10	22	-3.75
2009	10	10	23	-3.445
2009	10	11	0	-3.285
2009	10	11	1	-3.715
2009	10	11	2	-4.055
2009	10	11	3	-3.645
2009	10	11	4	-3.545
2009	10	11	5	-3.24
2009	10	11	6	-2.81
2009	10	11	7	-2.575
2009	10	11	8	-2.42
2009	10	11	9	-2.11
2009	10	11	10	-1.765
2009	10	11	11	-1.535
2009	10	11	12	-1.51
2009	10	11	13	-1.54
2009	10	11	14	-1.775
2009	10	11	15	-1.7
2009	10	11	16	-0.625
2009	10	11	17	-0.39
2009	10	11	18	-0.87
2009	10	11	19	-1.65
2009	10	11	20	-2.055
2009	10	11	21	-2.42
2009	10	11	22	-2.41
2009	10	11	23	-2.55
2009	10	12	0	-2.84
2009	10	12	1	-2.545
2009	10	12	2	-2.04
2009	10	12	3	-2.205
2009	10	12	4	-2.17
2009	10	12	5	-2.405
2009	10	12	6	-3.215
2009	10	12	7	-3.525
2009	10	12	8	-3.61
2009	10	12	9	0.655
2009	10	12	10	3.6
2009	10	12	11	5.785
2009	10	12	12	6.57
2009	10	12	13	6.995
2009	10	12	14	7.15
2009	10	12	15	7.53
2009	10	12	16	7.385
2009	10	12	17	5.8
2009	10	12	18	4.335
2009	10	12	19	4.11
2009	10	12	20	4.4
2009	10	12	21	4.24
2009	10	12	22	4.335
2009	10	12	23	4.73
2009	10	13	0	4.535
2009	10	13	1	2.89
2009	10	13	2	1.555
2009	10	13	3	0.325
2009	10	13	4	0.35
2009	10	13	5	0.845
2009	10	13	6	0.995
2009	10	13	7	0.935
2009	10	13	8	1.355
2009	10	13	9	1.905
2009	10	13	10	4.155
2009	10	13	11	4.245
2009	10	13	12	4.125
2009	10	13	13	6.345
2009	10	13	14	5.6
2009	10	13	15	5.915
2009	10	13	16	5.98
2009	10	13	17	5.43
2009	10	13	18	4.75
2009	10	13	19	4.135
2009	10	13	20	3.435
2009	10	13	21	1.83
2009	10	13	22	1.76
2009	10	13	23	2.32
2009	10	14	0	1.64
2009	10	14	1	0.425
2009	10	14	2	0.01
2009	10	14	3	-0.145
2009	10	14	4	-0.32
2009	10	14	5	-0.23
2009	10	14	6	-0.18
2009	10	14	7	-0.03
2009	10	14	8	0.285
2009	10	14	9	0.6
2009	10	14	10	1.02
2009	10	14	11	1.555
2009	10	14	12	2.43
2009	10	14	13	3
2009	10	14	14	4.035
2009	10	14	15	3.705
2009	10	14	16	3.68
2009	10	14	17	3.845
2009	10	14	18	3.64
2009	10	14	19	2.905
2009	10	14	20	3.01
2009	10	14	21	3.07
2009	10	14	22	3.265
2009	10	14	23	3.21
2009	10	15	0	2.86
2009	10	15	1	2.855
2009	10	15	2	2.865
2009	10	15	3	2.67
2009	10	15	4	2.83
2009	10	15	5	2.345
2009	10	15	6	1.865
2009	10	15	7	1.64
2009	10	15	8	1.73
2009	10	15	9	3.605
2009	10	15	10	3.61
2009	10	15	11	3.465
2009	10	15	12	3.61
2009	10	15	13	4.065
2009	10	15	14	4.53
2009	10	15	15	5.265
2009	10	15	16	5.195
2009	10	15	17	5.21
2009	10	15	18	4.105
2009	10	15	19	3.33
2009	10	15	20	3.12
2009	10	15	21	2.525
2009	10	15	22	1.895
2009	10	15	23	0.15
2009	10	16	0	1.09
2009	10	16	1	0
2009	10	16	2	-0.015
2009	10	16	3	-0.63
2009	10	16	4	0.365
2009	10	16	5	0.835
